,Date,Home Team,Home Score,Road Team,Road Score,Venue
0,2019-10-23T00:00:00.000Z,TOR,130,NOP,122,Scotiabank Arena
1,2019-10-23T02:30:00.000Z,LAC,112,LAL,102,Staples Center
2,2019-10-23T23:00:00.000Z,CHA,126,CHI,125,Spectrum Center
3,2019-10-23T23:00:00.000Z,ORL,94,CLE,85,Amway Center
4,2019-10-23T23:00:00.000Z,IND,110,DET,119,Bankers Life Fieldhouse
5,2019-10-23T23:30:00.000Z,PHI,107,BOS,93,Wells Fargo Center
6,2019-10-23T23:30:00.000Z,MIA,120,MEM,101,American Airlines Arena
7,2019-10-23T23:30:00.000Z,BRO,126,MIN,127,Barclays Center
8,2019-10-24T00:30:00.000Z,SAS,120,NYK,111,AT&T Center
9,2019-10-24T00:30:00.000Z,DAL,108,WAS,100,American Airlines Center
10,2019-10-24T01:00:00.000Z,UTA,100,OKL,95,Vivint Smart Home Arena
11,2019-10-24T02:00:00.000Z,POR,100,DEN,108,Moda Center
12,2019-10-24T02:00:00.000Z,PHX,124,SAC,95,Talking Stick Resort Arena
13,2019-10-24T23:00:00.000Z,DET,100,ATL,117,Little Caesars Arena
14,2019-10-25T00:00:00.000Z,HOU,111,MIL,117,Toyota Center
15,2019-10-25T02:30:00.000Z,GSW,122,LAC,141,Chase Center
16,2019-10-25T23:00:00.000Z,CHA,99,MIN,121,Spectrum Center
17,2019-10-25T23:00:00.000Z,BOS,112,TOR,106,TD Garden
18,2019-10-25T23:30:00.000Z,BRO,113,NYK,109,Barclays Center
19,2019-10-26T00:00:00.000Z,OKL,85,WAS,97,Chesapeake Energy Arena
20,2019-10-26T00:00:00.000Z,NOP,116,DAL,123,Smoothie King Center
21,2019-10-26T00:00:00.000Z,MEM,102,CHI,110,FedEx Forum
22,2019-10-26T01:00:00.000Z,DEN,108,PHX,107,Pepsi Center
23,2019-10-26T02:00:00.000Z,SAC,112,POR,122,Golden 1 Center
24,2019-10-26T02:30:00.000Z,LAL,95,UTA,86,Staples Center
25,2019-10-26T21:00:00.000Z,MIL,126,MIA,131,Fiserv Forum
26,2019-10-26T23:00:00.000Z,DET,111,PHI,117,Little Caesars Arena
27,2019-10-26T23:30:00.000Z,NYK,95,BOS,118,Madison Square Garden
28,2019-10-26T23:30:00.000Z,ATL,103,ORL,99,State Farm Arena
29,2019-10-27T00:00:00.000Z,HOU,126,NOP,123,Toyota Center
30,2019-10-27T00:00:00.000Z,CHI,84,TOR,108,United Center
31,2019-10-27T00:00:00.000Z,CLE,110,IND,99,Quicken Loans Arena
32,2019-10-27T00:30:00.000Z,SAS,124,WAS,122,AT&T Center
33,2019-10-27T01:00:00.000Z,UTA,113,SAC,81,Vivint Smart Home Arena
34,2019-10-27T02:00:00.000Z,PHX,130,LAC,122,Talking Stick Resort Arena
35,2019-10-27T19:30:00.000Z,OKL,120,GSW,92,Chesapeake Energy Arena
36,2019-10-27T22:00:00.000Z,MEM,134,BRO,133,FedEx Forum
37,2019-10-27T23:00:00.000Z,MIN,116,MIA,109,Target Center
38,2019-10-27T23:00:00.000Z,DAL,119,POR,121,American Airlines Center
39,2019-10-28T01:30:00.000Z,LAL,120,CHA,101,Staples Center
40,2019-10-28T23:00:00.000Z,NYK,105,CHI,98,Madison Square Garden
41,2019-10-28T23:00:00.000Z,DET,96,IND,94,Little Caesars Arena
42,2019-10-28T23:30:00.000Z,TOR,104,ORL,95,Scotiabank Arena
43,2019-10-28T23:30:00.000Z,ATL,103,PHI,105,State Farm Arena
44,2019-10-29T00:00:00.000Z,NOP,123,GSW,134,Smoothie King Center
45,2019-10-29T00:00:00.000Z,MIL,129,CLE,112,Fiserv Forum
46,2019-10-29T00:00:00.000Z,HOU,116,OKL,112,Toyota Center
47,2019-10-29T00:30:00.000Z,SAS,113,POR,110,AT&T Center
48,2019-10-29T02:00:00.000Z,SAC,94,DEN,101,Golden 1 Center
49,2019-10-29T02:00:00.000Z,PHX,95,UTA,96,Talking Stick Resort Arena
50,2019-10-29T02:30:00.000Z,LAC,111,CHA,96,Staples Center
51,2019-10-29T23:30:00.000Z,MIA,112,ATL,97,American Airlines Arena
52,2019-10-30T01:00:00.000Z,DEN,106,DAL,109,Pepsi Center
53,2019-10-30T02:30:00.000Z,LAL,120,MEM,91,Staples Center
54,2019-10-30T23:00:00.000Z,PHI,117,MIN,95,Wells Fargo Center
55,2019-10-30T23:00:00.000Z,ORL,95,NYK,83,Amway Center
56,2019-10-30T23:00:00.000Z,CLE,117,CHI,111,Quicken Loans Arena
57,2019-10-30T23:30:00.000Z,TOR,125,DET,113,Scotiabank Arena
58,2019-10-30T23:30:00.000Z,BRO,108,IND,118,Barclays Center
59,2019-10-30T23:30:00.000Z,BOS,116,MIL,105,TD Garden
60,2019-10-31T00:00:00.000Z,OKL,99,POR,102,Chesapeake Energy Arena
61,2019-10-31T00:00:00.000Z,WAS,158,HOU,159,Capital One Arena
62,2019-10-31T02:00:00.000Z,SAC,111,CHA,118,Golden 1 Center
63,2019-10-31T02:00:00.000Z,UTA,110,LAC,96,Vivint Smart Home Arena
64,2019-10-31T02:30:00.000Z,GSW,110,PHX,121,Chase Center
65,2019-10-31T23:00:00.000Z,ATL,97,MIA,106,State Farm Arena
66,2019-11-01T01:30:00.000Z,NOP,122,DEN,107,Smoothie King Center
67,2019-11-01T02:30:00.000Z,LAC,103,SAS,97,Staples Center
68,2019-11-01T23:00:00.000Z,ORL,91,MIL,123,Amway Center
69,2019-11-01T23:00:00.000Z,IND,102,CLE,95,Bankers Life Fieldhouse
70,2019-11-01T23:00:00.000Z,BRO,123,HOU,116,Barclays Center
71,2019-11-01T23:30:00.000Z,BOS,104,NYK,102,TD Garden
72,2019-11-02T00:00:00.000Z,CHI,112,DET,106,United Center
73,2019-11-02T01:30:00.000Z,DAL,110,LAL,119,American Airlines Center
74,2019-11-02T02:00:00.000Z,SAC,102,UTA,101,Golden 1 Center
75,2019-11-02T02:30:00.000Z,GSW,110,SAS,127,Chase Center
76,2019-11-02T21:00:00.000Z,OKL,115,NOP,104,Chesapeake Energy Arena
77,2019-11-02T23:00:00.000Z,ORL,87,DEN,91,Amway Center
78,2019-11-02T23:00:00.000Z,DET,113,BRO,109,Little Caesars Arena
79,2019-11-03T00:00:00.000Z,MIL,115,TOR,105,Fiserv Forum
80,2019-11-03T00:00:00.000Z,MEM,105,PHX,114,FedEx Forum
81,2019-11-03T00:00:00.000Z,WAS,109,MIN,131,Capital One Arena
82,2019-11-03T00:30:00.000Z,GSW,87,CHA,93,Chase Center
83,2019-11-03T02:00:00.000Z,POR,128,PHI,129,Moda Center
84,2019-11-03T22:00:00.000Z,IND,108,CHI,95,Bankers Life Fieldhouse
85,2019-11-03T23:00:00.000Z,NYK,92,SAC,113,Madison Square Garden
86,2019-11-03T23:00:00.000Z,MIA,129,HOU,100,American Airlines Arena
87,2019-11-04T00:00:00.000Z,SAS,96,LAL,103,AT&T Center
88,2019-11-04T00:30:00.000Z,CLE,111,DAL,131,Quicken Loans Arena
89,2019-11-04T02:00:00.000Z,LAC,105,UTA,94,Staples Center
90,2019-11-05T00:00:00.000Z,WAS,115,DET,99,Capital One Arena
91,2019-11-05T00:30:00.000Z,BRO,135,NOP,125,Barclays Center
92,2019-11-05T01:00:00.000Z,MIN,106,MIL,134,Target Center
93,2019-11-05T01:00:00.000Z,MEM,100,HOU,107,FedEx Forum
94,2019-11-05T02:00:00.000Z,PHX,114,PHI,109,Talking Stick Resort Arena
95,2019-11-05T03:30:00.000Z,GSW,127,POR,118,Chase Center
