,Last Name,First Name,Position,Team,Total FG %,Total Points Scored
77,Brown Jr.,Charles,SF,ATL,31.6,20.0
201,Graham,Treveon,SG,ATL,37.3,72.0
139,Dedmon,Dewayne,C,ATL,39.3,81.0
200,Graham,Treveon,SG,ATL,35.2,171.0
138,Dedmon,Dewayne,C,ATL,40.4,175.0
312,Labissiere,Skal,PF,ATL,55.1,190.0
501,Teague,Jeff,PG,ATL,41.2,193.0
196,Goodwin,Brandon,PG,ATL,40.0,206.0
173,Fernando,Bruno,PF,ATL,51.8,240.0
42,Bembry,DeAndre',SG,ATL,45.6,249.0
95,Carter,Vince,SF,ATL,35.2,298.0
289,Jones,Damian,C,ATL,68.0,306.0
500,Teague,Jeff,PG,ATL,44.6,448.0
91,Capela,Clint,C,ATL,62.9,543.0
451,Reddish,Cam,SF,ATL,38.4,610.0
257,Huerter,Kevin,SG,ATL,41.3,684.0
258,Hunter,De'Andre,SF,ATL,41.0,778.0
117,Collins,John,PF,ATL,58.3,885.0
567,Young,Trae,PG,ATL,43.7,1778.0
169,Fall,Tacko,C,BOS,75.0,19.0
542,Waters,Tremont,PG,BOS,34.3,33.0
437,Poirier,Vincent,C,BOS,48.5,39.0
314,Langford,Romeo,SG,BOS,37.5,69.0
559,Williams III,Robert,C,BOS,67.7,98.0
158,Edwards,Carsen,PG,BOS,32.7,106.0
207,Green,Javonte,SG,BOS,50.0,127.0
409,Ojeleye,Semi,SF,BOS,40.9,191.0
552,Williams,Grant,PF,BOS,41.7,218.0
538,Wanamaker,Brad,PG,BOS,42.8,413.0
296,Kanter,Enes,C,BOS,56.6,416.0
503,Theis,Daniel,PF,BOS,56.5,539.0
489,Smart,Marcus,SG,BOS,38.0,714.0
231,Hayward,Gordon,SF,BOS,50.2,778.0
74,Brown,Jaylen,SG,BOS,49.0,1022.0
533,Walker,Kemba,PG,BOS,42.1,1060.0
499,Tatum,Jayson,PF,BOS,44.8,1390.0
346,Martin,Jeremiah,PG,BRO,20.0,2.0
105,Chiozza,Chris,PG,BRO,29.4,27.0
106,Chiozza,Chris,PG,BRO,48.9,57.0
113,Claxton,Nicolas,PF,BRO,56.2,66.0
434,Pinson,Theo,SG,BRO,29.0,120.0
392,Musa,Dzanan,SG,BRO,36.0,148.0
310,Kurucs,Rodions,SF,BRO,44.8,162.0
102,Chandler,Wilson,SF,BRO,40.4,205.0
334,Luwawu-Cabarrot,Timothe,SG,BRO,40.6,247.0
292,Jordan,DeAndre,C,BRO,66.6,465.0
265,Irving,Kyrie,PG,BRO,47.8,548.0
502,Temple,Garrett,SG,BRO,37.8,564.0
5,Allen,Jarrett,C,BRO,64.6,681.0
326,LeVert,Caris,SG,BRO,41.4,692.0
447,Prince,Taurean,SF,BRO,37.6,773.0
224,Harris,Joe,SF,BRO,47.1,878.0
146,Dinwiddie,Spencer,PG,BRO,41.6,1318.0
103,Chealey,Joe,PG,CHA,0.0,2.0
31,Batum,Nicolas,SF,CHA,34.6,79.0
354,McDaniels,Jalen,PF,CHA,47.1,89.0
344,Martin,Caleb,SF,CHA,44.0,111.0
237,Hernangomez,Willy,C,CHA,52.9,190.0
21,Bacon,Dwayne,SF,CHA,34.8,224.0
345,Martin,Cody,PF,CHA,43.0,238.0
49,Biyombo,Bismack,C,CHA,54.3,393.0
376,Monk,Malik,SG,CHA,43.4,564.0
568,Zeller,Cody,C,CHA,52.3,642.0
540,Washington,P.J.,PF,CHA,45.5,710.0
68,Bridges,Miles,SF,CHA,42.4,843.0
467,Rozier,Terry,PG,CHA,42.2,1134.0
199,Graham,Devonte',PG,CHA,38.2,1145.0
495,Strus,Max,SG,CHI,66.7,5.0
375,Mokoka,Adam,SG,CHI,42.9,32.0
171,Felicio,Cristiano,C,CHI,63.0,86.0
442,Porter Jr.,Otto,SF,CHI,44.3,167.0
226,Harrison,Shaquille,G,CHI,46.7,209.0
308,Kornet,Luke,PF,CHI,43.9,215.0
259,Hutchison,Chandler,SF,CHI,45.7,218.0
185,Gafford,Daniel,PF,CHI,70.1,220.0
522,Valentine,Denzel,SF,CHI,40.9,246.0
16,Arcidiacono,Ryan,PG,CHI,40.9,261.0
157,Dunn,Kris,PG,CHI,44.4,373.0
96,Carter Jr.,Wendell,C,CHI,53.4,484.0
475,Satoransky,Tomas,PG,CHI,43.0,644.0
