,Abr,Team Name,Conference,Wins,Losses,Win Pct,FG % (2pt),FG% (3pt),Total FG%,Turnovers Committed,Points Scored,Poinst Against
0,ATL,Hawks,East,20,47,0.299,52.5,33.3,44.9,15.7,111.8,119.8
1,BOS,Celtics,East,43,21,0.672,51.9,36.3,45.9,13,113,106.7
2,BRO,Nets,East,30,34,0.469,51.9,34,44.4,14.8,110.8,111.4
3,CHA,Hornets,East,23,42,0.354,48.9,35.2,43.4,13.9,102.9,109.6
4,CHI,Bulls,East,22,43,0.338,51.1,34.7,44.6,14.6,106.8,109.9
5,CLE,Cavaliers,East,19,46,0.292,51.9,35.1,45.8,15.7,106.9,114.7
6,DAL,Mavericks,West,40,27,0.597,54.3,36.9,46.2,12.2,116.4,110.4
7,DEN,Nuggets,West,43,22,0.662,52.9,35.8,47.1,12.9,110.4,107.4
8,DET,Pistons,East,20,46,0.303,51.5,36.7,45.9,14.6,107.2,110.8
9,GSW,Warriors,West,15,50,0.231,49.6,33.4,43.8,14.3,106.3,115
10,HOU,Rockets,West,40,24,0.625,55.4,34.8,45.4,14.1,118.1,114.4
11,IND,Pacers,East,39,26,0.6,52.8,36.3,47.7,12.5,109.3,107.4
12,LAC,Clippers,West,44,20,0.688,52.1,36.6,46.4,14.1,116.2,109.6
13,LAL,Lakers,West,49,14,0.778,55.6,35.5,48.5,14.5,114.3,106.9
14,MEM,Grizzlies,West,32,33,0.492,53.1,35.2,47,14.6,112.6,113.7
15,MIA,Heat,East,41,24,0.631,53,38.3,46.9,13.9,112.2,108.9
16,MIL,Bucks,East,53,12,0.815,56.6,35.6,47.7,14.4,118.6,107.4
17,MIN,Timberwolves,West,19,45,0.297,52.1,33.6,44.1,14.7,113.2,117.5
18,NOP,Pelicans,West,28,36,0.438,52.5,37.2,46.2,15.7,116.2,117
19,NYK,Knicks,East,21,45,0.318,49.9,33.7,44.8,13.9,105.8,112.3
20,OKL,Thunder,West,40,24,0.625,53.6,35.5,47.3,12.7,110.8,108.3
21,ORL,Magic,East,30,35,0.462,49.9,34.1,44.2,12,106.4,107.2
22,PHI,76ers,East,39,26,0.6,52.3,36.2,46.5,13.4,109.6,107.3
23,PHX,Suns,West,26,39,0.4,52.6,35.3,46.4,14.5,112.6,113.9
24,POR,Trail Blazers,West,29,37,0.439,51.3,37.2,46.1,12.6,113.6,115.3
25,SAC,Kings,West,28,36,0.438,52.1,36.4,45.9,13.7,109,110.9
26,SAS,Spurs,West,27,36,0.429,51.7,37.1,47,11.9,113.2,114.9
27,TOR,Raptors,East,46,18,0.719,52.1,37.1,45.8,13.6,113,106.5
28,UTA,Jazz,West,41,23,0.641,53.8,38.3,47.5,14.3,111,107.9
29,WAS,Wizards,East,24,40,0.375,51.1,37.2,46.1,13.4,115.6,119.7
