,Date,Home Team,Home Score,Road Team,Road Score,Venue
0,2019-10-23T00:00:00.000Z,TOR,130.0,NOP,122.0,Scotiabank Arena
1,2019-10-23T02:30:00.000Z,LAC,112.0,LAL,102.0,Staples Center
2,2019-10-23T23:00:00.000Z,CHA,126.0,CHI,125.0,Spectrum Center
3,2019-10-23T23:00:00.000Z,ORL,94.0,CLE,85.0,Amway Center
4,2019-10-23T23:00:00.000Z,IND,110.0,DET,119.0,Bankers Life Fieldhouse
5,2019-10-23T23:30:00.000Z,PHI,107.0,BOS,93.0,Wells Fargo Center
6,2019-10-23T23:30:00.000Z,MIA,120.0,MEM,101.0,American Airlines Arena
7,2019-10-23T23:30:00.000Z,BRO,126.0,MIN,127.0,Barclays Center
8,2019-10-24T00:30:00.000Z,SAS,120.0,NYK,111.0,AT&T Center
9,2019-10-24T00:30:00.000Z,DAL,108.0,WAS,100.0,American Airlines Center
10,2019-10-24T01:00:00.000Z,UTA,100.0,OKL,95.0,Vivint Smart Home Arena
11,2019-10-24T02:00:00.000Z,POR,100.0,DEN,108.0,Moda Center
12,2019-10-24T02:00:00.000Z,PHX,124.0,SAC,95.0,Talking Stick Resort Arena
13,2019-10-24T23:00:00.000Z,DET,100.0,ATL,117.0,Little Caesars Arena
14,2019-10-25T00:00:00.000Z,HOU,111.0,MIL,117.0,Toyota Center
15,2019-10-25T02:30:00.000Z,GSW,122.0,LAC,141.0,Chase Center
16,2019-10-25T23:00:00.000Z,CHA,99.0,MIN,121.0,Spectrum Center
17,2019-10-25T23:00:00.000Z,BOS,112.0,TOR,106.0,TD Garden
18,2019-10-25T23:30:00.000Z,BRO,113.0,NYK,109.0,Barclays Center
19,2019-10-26T00:00:00.000Z,OKL,85.0,WAS,97.0,Chesapeake Energy Arena
20,2019-10-26T00:00:00.000Z,NOP,116.0,DAL,123.0,Smoothie King Center
21,2019-10-26T00:00:00.000Z,MEM,102.0,CHI,110.0,FedEx Forum
22,2019-10-26T01:00:00.000Z,DEN,108.0,PHX,107.0,Pepsi Center
23,2019-10-26T02:00:00.000Z,SAC,112.0,POR,122.0,Golden 1 Center
24,2019-10-26T02:30:00.000Z,LAL,95.0,UTA,86.0,Staples Center
25,2019-10-26T21:00:00.000Z,MIL,126.0,MIA,131.0,Fiserv Forum
26,2019-10-26T23:00:00.000Z,DET,111.0,PHI,117.0,Little Caesars Arena
27,2019-10-26T23:30:00.000Z,NYK,95.0,BOS,118.0,Madison Square Garden
28,2019-10-26T23:30:00.000Z,ATL,103.0,ORL,99.0,State Farm Arena
29,2019-10-27T00:00:00.000Z,HOU,126.0,NOP,123.0,Toyota Center
30,2019-10-27T00:00:00.000Z,CHI,84.0,TOR,108.0,United Center
31,2019-10-27T00:00:00.000Z,CLE,110.0,IND,99.0,Quicken Loans Arena
32,2019-10-27T00:30:00.000Z,SAS,124.0,WAS,122.0,AT&T Center
33,2019-10-27T01:00:00.000Z,UTA,113.0,SAC,81.0,Vivint Smart Home Arena
34,2019-10-27T02:00:00.000Z,PHX,130.0,LAC,122.0,Talking Stick Resort Arena
35,2019-10-27T19:30:00.000Z,OKL,120.0,GSW,92.0,Chesapeake Energy Arena
36,2019-10-27T22:00:00.000Z,MEM,134.0,BRO,133.0,FedEx Forum
37,2019-10-27T23:00:00.000Z,MIN,116.0,MIA,109.0,Target Center
38,2019-10-27T23:00:00.000Z,DAL,119.0,POR,121.0,American Airlines Center
39,2019-10-28T01:30:00.000Z,LAL,120.0,CHA,101.0,Staples Center
40,2019-10-28T23:00:00.000Z,NYK,105.0,CHI,98.0,Madison Square Garden
41,2019-10-28T23:00:00.000Z,DET,96.0,IND,94.0,Little Caesars Arena
42,2019-10-28T23:30:00.000Z,TOR,104.0,ORL,95.0,Scotiabank Arena
43,2019-10-28T23:30:00.000Z,ATL,103.0,PHI,105.0,State Farm Arena
44,2019-10-29T00:00:00.000Z,NOP,123.0,GSW,134.0,Smoothie King Center
45,2019-10-29T00:00:00.000Z,MIL,129.0,CLE,112.0,Fiserv Forum
46,2019-10-29T00:00:00.000Z,HOU,116.0,OKL,112.0,Toyota Center
47,2019-10-29T00:30:00.000Z,SAS,113.0,POR,110.0,AT&T Center
48,2019-10-29T02:00:00.000Z,SAC,94.0,DEN,101.0,Golden 1 Center
49,2019-10-29T02:00:00.000Z,PHX,95.0,UTA,96.0,Talking Stick Resort Arena
50,2019-10-29T02:30:00.000Z,LAC,111.0,CHA,96.0,Staples Center
51,2019-10-29T23:30:00.000Z,MIA,112.0,ATL,97.0,American Airlines Arena
52,2019-10-30T01:00:00.000Z,DEN,106.0,DAL,109.0,Pepsi Center
53,2019-10-30T02:30:00.000Z,LAL,120.0,MEM,91.0,Staples Center
54,2019-10-30T23:00:00.000Z,PHI,117.0,MIN,95.0,Wells Fargo Center
55,2019-10-30T23:00:00.000Z,ORL,95.0,NYK,83.0,Amway Center
56,2019-10-30T23:00:00.000Z,CLE,117.0,CHI,111.0,Quicken Loans Arena
57,2019-10-30T23:30:00.000Z,TOR,125.0,DET,113.0,Scotiabank Arena
58,2019-10-30T23:30:00.000Z,BRO,108.0,IND,118.0,Barclays Center
59,2019-10-30T23:30:00.000Z,BOS,116.0,MIL,105.0,TD Garden
60,2019-10-31T00:00:00.000Z,OKL,99.0,POR,102.0,Chesapeake Energy Arena
61,2019-10-31T00:00:00.000Z,WAS,158.0,HOU,159.0,Capital One Arena
62,2019-10-31T02:00:00.000Z,SAC,111.0,CHA,118.0,Golden 1 Center
63,2019-10-31T02:00:00.000Z,UTA,110.0,LAC,96.0,Vivint Smart Home Arena
64,2019-10-31T02:30:00.000Z,GSW,110.0,PHX,121.0,Chase Center
65,2019-10-31T23:00:00.000Z,ATL,97.0,MIA,106.0,State Farm Arena
66,2019-11-01T01:30:00.000Z,NOP,122.0,DEN,107.0,Smoothie King Center
67,2019-11-01T02:30:00.000Z,LAC,103.0,SAS,97.0,Staples Center
68,2019-11-01T23:00:00.000Z,ORL,91.0,MIL,123.0,Amway Center
69,2019-11-01T23:00:00.000Z,IND,102.0,CLE,95.0,Bankers Life Fieldhouse
70,2019-11-01T23:00:00.000Z,BRO,123.0,HOU,116.0,Barclays Center
71,2019-11-01T23:30:00.000Z,BOS,104.0,NYK,102.0,TD Garden
72,2019-11-02T00:00:00.000Z,CHI,112.0,DET,106.0,United Center
73,2019-11-02T01:30:00.000Z,DAL,110.0,LAL,119.0,American Airlines Center
74,2019-11-02T02:00:00.000Z,SAC,102.0,UTA,101.0,Golden 1 Center
75,2019-11-02T02:30:00.000Z,GSW,110.0,SAS,127.0,Chase Center
76,2019-11-02T21:00:00.000Z,OKL,115.0,NOP,104.0,Chesapeake Energy Arena
77,2019-11-02T23:00:00.000Z,ORL,87.0,DEN,91.0,Amway Center
78,2019-11-02T23:00:00.000Z,DET,113.0,BRO,109.0,Little Caesars Arena
79,2019-11-03T00:00:00.000Z,MIL,115.0,TOR,105.0,Fiserv Forum
80,2019-11-03T00:00:00.000Z,MEM,105.0,PHX,114.0,FedEx Forum
81,2019-11-03T00:00:00.000Z,WAS,109.0,MIN,131.0,Capital One Arena
82,2019-11-03T00:30:00.000Z,GSW,87.0,CHA,93.0,Chase Center
83,2019-11-03T02:00:00.000Z,POR,128.0,PHI,129.0,Moda Center
84,2019-11-03T22:00:00.000Z,IND,108.0,CHI,95.0,Bankers Life Fieldhouse
85,2019-11-03T23:00:00.000Z,NYK,92.0,SAC,113.0,Madison Square Garden
86,2019-11-03T23:00:00.000Z,MIA,129.0,HOU,100.0,American Airlines Arena
87,2019-11-04T00:00:00.000Z,SAS,96.0,LAL,103.0,AT&T Center
88,2019-11-04T00:30:00.000Z,CLE,111.0,DAL,131.0,Quicken Loans Arena
89,2019-11-04T02:00:00.000Z,LAC,105.0,UTA,94.0,Staples Center
90,2019-11-05T00:00:00.000Z,WAS,115.0,DET,99.0,Capital One Arena
91,2019-11-05T00:30:00.000Z,BRO,135.0,NOP,125.0,Barclays Center
92,2019-11-05T01:00:00.000Z,MIN,106.0,MIL,134.0,Target Center
93,2019-11-05T01:00:00.000Z,MEM,100.0,HOU,107.0,FedEx Forum
94,2019-11-05T02:00:00.000Z,PHX,114.0,PHI,109.0,Talking Stick Resort Arena
95,2019-11-05T03:30:00.000Z,GSW,127.0,POR,118.0,Chase Center
96,2019-11-06T00:00:00.000Z,CLE,113.0,BOS,119.0,Quicken Loans Arena
97,2019-11-06T00:00:00.000Z,CHA,122.0,IND,120.0,Spectrum Center
98,2019-11-06T00:30:00.000Z,ATL,108.0,SAS,100.0,State Farm Arena
99,2019-11-06T01:00:00.000Z,OKL,102.0,ORL,94.0,Chesapeake Energy Arena
100,2019-11-06T01:00:00.000Z,CHI,112.0,LAL,118.0,United Center
101,2019-11-06T02:00:00.000Z,DEN,109.0,MIA,89.0,Pepsi Center
102,2019-11-07T00:00:00.000Z,IND,121.0,WAS,106.0,Bankers Life Fieldhouse
103,2019-11-07T00:00:00.000Z,DET,122.0,NYK,102.0,Little Caesars Arena
104,2019-11-07T00:30:00.000Z,HOU,129.0,GSW,112.0,Toyota Center
105,2019-11-07T00:30:00.000Z,TOR,124.0,SAC,120.0,Scotiabank Arena
106,2019-11-07T00:30:00.000Z,ATL,93.0,CHI,113.0,State Farm Arena
107,2019-11-07T01:00:00.000Z,MEM,137.0,MIN,121.0,FedEx Forum
108,2019-11-07T01:30:00.000Z,DAL,107.0,ORL,106.0,American Airlines Center
109,2019-11-07T02:00:00.000Z,UTA,106.0,PHI,104.0,Vivint Smart Home Arena
110,2019-11-07T03:00:00.000Z,LAC,124.0,MIL,129.0,Staples Center
111,2019-11-08T01:00:00.000Z,CHA,87.0,BOS,108.0,Spectrum Center
112,2019-11-08T01:30:00.000Z,SAS,121.0,OKL,112.0,AT&T Center
113,2019-11-08T02:00:00.000Z,PHX,108.0,MIA,124.0,Talking Stick Resort Arena
114,2019-11-08T03:30:00.000Z,LAC,107.0,POR,101.0,Staples Center
115,2019-11-09T00:00:00.000Z,WAS,100.0,CLE,113.0,Capital One Arena
116,2019-11-09T00:00:00.000Z,ORL,118.0,MEM,86.0,Amway Center
117,2019-11-09T00:00:00.000Z,IND,112.0,DET,106.0,Bankers Life Fieldhouse
118,2019-11-09T00:30:00.000Z,ATL,109.0,SAC,121.0,State Farm Arena
119,2019-11-09T01:00:00.000Z,NOP,104.0,TOR,122.0,Smoothie King Center
120,2019-11-09T01:00:00.000Z,MIN,125.0,GSW,119.0,Target Center
121,2019-11-09T01:30:00.000Z,DAL,102.0,NYK,106.0,American Airlines Center
122,2019-11-09T02:00:00.000Z,UTA,103.0,MIL,100.0,Vivint Smart Home Arena
123,2019-11-09T02:00:00.000Z,DEN,100.0,PHI,97.0,Pepsi Center
124,2019-11-09T03:00:00.000Z,POR,115.0,BRO,119.0,Moda Center
125,2019-11-09T03:30:00.000Z,LAL,95.0,MIA,80.0,Staples Center
126,2019-11-09T22:00:00.000Z,SAS,115.0,BOS,135.0,AT&T Center
127,2019-11-10T00:00:00.000Z,CHA,110.0,NOP,115.0,Spectrum Center
128,2019-11-10T01:00:00.000Z,OKL,114.0,GSW,108.0,Chesapeake Energy Arena
129,2019-11-10T01:00:00.000Z,MEM,122.0,DAL,138.0,FedEx Forum
130,2019-11-10T01:00:00.000Z,CHI,94.0,HOU,117.0,United Center
131,2019-11-10T20:30:00.000Z,MIN,98.0,DEN,100.0,Target Center
132,2019-11-10T23:00:00.000Z,PHI,114.0,CHA,106.0,Wells Fargo Center
133,2019-11-10T23:00:00.000Z,ORL,102.0,IND,109.0,Amway Center
134,2019-11-11T00:00:00.000Z,OKL,119.0,MIL,121.0,Chesapeake Energy Arena
135,2019-11-11T00:30:00.000Z,NYK,87.0,CLE,108.0,Madison Square Garden
136,2019-11-11T01:00:00.000Z,PHX,138.0,BRO,112.0,Talking Stick Resort Arena
137,2019-11-11T02:00:00.000Z,POR,124.0,ATL,113.0,Moda Center
138,2019-11-11T02:30:00.000Z,LAL,104.0,TOR,113.0,Staples Center
139,2019-11-12T00:00:00.000Z,DET,114.0,MIN,120.0,Little Caesars Arena
140,2019-11-12T00:30:00.000Z,SAS,109.0,MEM,113.0,AT&T Center
141,2019-11-12T00:30:00.000Z,BOS,116.0,DAL,106.0,TD Garden
142,2019-11-12T01:00:00.000Z,NOP,116.0,HOU,122.0,Smoothie King Center
143,2019-11-12T03:30:00.000Z,LAC,98.0,TOR,88.0,Staples Center
144,2019-11-12T03:30:00.000Z,GSW,108.0,UTA,122.0,Chase Center
145,2019-11-13T00:00:00.000Z,PHI,98.0,CLE,97.0,Wells Fargo Center
146,2019-11-13T00:00:00.000Z,IND,111.0,OKL,85.0,Bankers Life Fieldhouse
147,2019-11-13T00:30:00.000Z,MIA,117.0,DET,108.0,American Airlines Arena
148,2019-11-13T01:00:00.000Z,CHI,120.0,NYK,102.0,United Center
149,2019-11-13T02:00:00.000Z,UTA,119.0,BRO,114.0,Vivint Smart Home Arena
150,2019-11-13T02:00:00.000Z,PHX,115.0,LAL,123.0,Talking Stick Resort Arena
151,2019-11-13T02:00:00.000Z,DEN,121.0,ATL,125.0,Pepsi Center
152,2019-11-13T03:00:00.000Z,SAC,107.0,POR,99.0,Golden 1 Center
153,2019-11-14T00:00:00.000Z,ORL,112.0,PHI,97.0,Amway Center
154,2019-11-14T00:00:00.000Z,CHA,117.0,MEM,119.0,Spectrum Center
155,2019-11-14T00:30:00.000Z,HOU,102.0,LAC,93.0,Toyota Center
156,2019-11-14T00:30:00.000Z,BOS,140.0,WAS,133.0,TD Garden
157,2019-11-14T01:00:00.000Z,MIN,129.0,SAS,114.0,Target Center
158,2019-11-14T03:00:00.000Z,POR,106.0,TOR,114.0,Moda Center
159,2019-11-14T03:00:00.000Z,LAL,120.0,GSW,94.0,Staples Center
160,2019-11-14T23:00:00.000Z,CLE,97.0,MIA,108.0,Quicken Loans Arena
161,2019-11-15T01:00:00.000Z,NOP,132.0,LAC,127.0,Smoothie King Center
162,2019-11-15T01:00:00.000Z,MIL,124.0,CHI,115.0,Fiserv Forum
163,2019-11-15T01:00:00.000Z,NYK,106.0,DAL,103.0,Madison Square Garden
164,2019-11-15T02:00:00.000Z,PHX,128.0,ATL,112.0,Talking Stick Resort Arena
165,2019-11-15T03:30:00.000Z,DEN,101.0,BRO,93.0,Pepsi Center
166,2019-11-16T00:00:00.000Z,ORL,111.0,SAS,109.0,Amway Center
167,2019-11-16T00:00:00.000Z,CHA,109.0,DET,106.0,Spectrum Center
168,2019-11-16T01:00:00.000Z,OKL,127.0,PHI,119.0,Chesapeake Energy Arena
169,2019-11-16T01:00:00.000Z,MIN,116.0,WAS,137.0,Target Center
170,2019-11-16T01:00:00.000Z,MEM,107.0,UTA,106.0,FedEx Forum
171,2019-11-16T01:00:00.000Z,HOU,111.0,IND,102.0,Toyota Center
172,2019-11-16T03:30:00.000Z,LAL,99.0,SAC,97.0,Staples Center
173,2019-11-16T03:30:00.000Z,GSW,100.0,BOS,105.0,Chase Center
174,2019-11-16T23:00:00.000Z,CHI,111.0,BRO,117.0,United Center
175,2019-11-17T00:00:00.000Z,IND,83.0,MIL,102.0,Bankers Life Fieldhouse
176,2019-11-17T00:30:00.000Z,NYK,102.0,CHA,103.0,Madison Square Garden
177,2019-11-17T01:00:00.000Z,MIN,105.0,HOU,125.0,Target Center
178,2019-11-17T01:00:00.000Z,MIA,109.0,NOP,94.0,American Airlines Arena
179,2019-11-17T01:30:00.000Z,SAS,116.0,POR,121.0,AT&T Center
180,2019-11-17T01:30:00.000Z,DAL,110.0,TOR,102.0,American Airlines Center
181,2019-11-17T03:30:00.000Z,LAC,150.0,ATL,101.0,Staples Center
182,2019-11-17T20:00:00.000Z,CLE,95.0,PHI,114.0,Quicken Loans Arena
183,2019-11-17T20:30:00.000Z,SAC,100.0,BOS,99.0,Golden 1 Center
184,2019-11-17T23:00:00.000Z,MEM,114.0,DEN,131.0,FedEx Forum
185,2019-11-17T23:00:00.000Z,ORL,125.0,WAS,121.0,Amway Center
186,2019-11-18T00:00:00.000Z,NOP,108.0,GSW,100.0,Smoothie King Center
187,2019-11-18T02:30:00.000Z,LAL,122.0,ATL,101.0,Staples Center
188,2019-11-19T00:00:00.000Z,NYK,123.0,CLE,105.0,Madison Square Garden
189,2019-11-19T00:30:00.000Z,TOR,132.0,CHA,96.0,Scotiabank Arena
190,2019-11-19T00:30:00.000Z,BRO,86.0,IND,115.0,Barclays Center
191,2019-11-19T01:00:00.000Z,HOU,132.0,POR,108.0,Toyota Center
