,Abr,Team Name,Wins,Losses,Win Pct,FG % (2pt),FG% (3pt),Total FG%,Turnovers Committed,Points Scored,Poinst Against
0,ATL,Hawks,20.0,47.0,0.299,52.5,33.3,44.9,15.7,111.8,119.8
1,BOS,Celtics,43.0,21.0,0.672,51.9,36.3,45.9,13.0,113.0,106.7
2,BRO,Nets,30.0,34.0,0.469,51.9,34.0,44.4,14.8,110.8,111.4
3,CHA,Hornets,23.0,42.0,0.354,48.9,35.2,43.4,13.9,102.9,109.6
4,CHI,Bulls,22.0,43.0,0.338,51.1,34.7,44.6,14.6,106.8,109.9
5,CLE,Cavaliers,19.0,46.0,0.292,51.9,35.1,45.8,15.7,106.9,114.7
6,DAL,Mavericks,40.0,27.0,0.597,54.3,36.9,46.2,12.2,116.4,110.4
7,DEN,Nuggets,43.0,22.0,0.662,52.9,35.8,47.1,12.9,110.4,107.4
8,DET,Pistons,20.0,46.0,0.303,51.5,36.7,45.9,14.6,107.2,110.8
9,GSW,Warriors,15.0,50.0,0.231,49.6,33.4,43.8,14.3,106.3,115.0
10,HOU,Rockets,40.0,24.0,0.625,55.4,34.8,45.4,14.1,118.1,114.4
11,IND,Pacers,39.0,26.0,0.6,52.8,36.3,47.7,12.5,109.3,107.4
12,LAC,Clippers,44.0,20.0,0.688,52.1,36.6,46.4,14.1,116.2,109.6
13,LAL,Lakers,49.0,14.0,0.778,55.6,35.5,48.5,14.5,114.3,106.9
14,MEM,Grizzlies,32.0,33.0,0.492,53.1,35.2,47.0,14.6,112.6,113.7
15,MIA,Heat,41.0,24.0,0.631,53.0,38.3,46.9,13.9,112.2,108.9
16,MIL,Bucks,53.0,12.0,0.815,56.6,35.6,47.7,14.4,118.6,107.4
17,MIN,Timberwolves,19.0,45.0,0.297,52.1,33.6,44.1,14.7,113.2,117.5
18,NOP,Pelicans,28.0,36.0,0.438,52.5,37.2,46.2,15.7,116.2,117.0
19,NYK,Knicks,21.0,45.0,0.318,49.9,33.7,44.8,13.9,105.8,112.3
20,OKL,Thunder,40.0,24.0,0.625,53.6,35.5,47.3,12.7,110.8,108.3
21,ORL,Magic,30.0,35.0,0.462,49.9,34.1,44.2,12.0,106.4,107.2
22,PHI,76ers,39.0,26.0,0.6,52.3,36.2,46.5,13.4,109.6,107.3
23,PHX,Suns,26.0,39.0,0.4,52.6,35.3,46.4,14.5,112.6,113.9
24,POR,Trail Blazers,29.0,37.0,0.439,51.3,37.2,46.1,12.6,113.6,115.3
25,SAC,Kings,28.0,36.0,0.438,52.1,36.4,45.9,13.7,109.0,110.9
26,SAS,Spurs,27.0,36.0,0.429,51.7,37.1,47.0,11.9,113.2,114.9
27,TOR,Raptors,46.0,18.0,0.719,52.1,37.1,45.8,13.6,113.0,106.5
28,UTA,Jazz,41.0,23.0,0.641,53.8,38.3,47.5,14.3,111.0,107.9
29,WAS,Wizards,24.0,40.0,0.375,51.1,37.2,46.1,13.4,115.6,119.7
